trade_id,order_id,timestamp,exchange,user_id,pair,side,order_type,maker_taker,price,amount,value_quote,fee_rate,fee_amount,fee_currency,filled_percent,is_margin,wallet_before_quote,wallet_after_quote,note
t00000032,o1000000031,55:41.2,Bitstamp,user_03470,ADA/USDT,sell,limit,maker,4770.4162,482.1372776,2299995.48,0.00033405,768.31349,USDT,100,FALSE,2921.84,-2297841.95,
t00000033,o1000000032,24:41.2,Bitstamp,user_01371,LTC/USDT,sell,limit,maker,21435.3867,840.9103013,18025237.49,0.00044825,8079.812704,USDT,100,FALSE,7084.84,-18026232.46,
t00000034,o1000000033,50:41.2,Binance,user_03325,DOT/USDT,sell,limit,taker,1458.9736,221.2464841,322792.7793,0.00166264,536.6881866,USDT,100,FALSE,4645.01,-318684.46,
t00000035,o1000000034,26:41.2,Kraken,user_04124,BTC/USDT,sell,limit,maker,24044.7669,380.9974638,9160995.206,0.00083715,7669.127136,USDT,100,FALSE,9383.9,-9159280.43,
t00000036,o1000000035,55:41.2,Gemini,user_03214,BTC/USDT,sell,market,taker,33121.8694,808.4076548,26775972.77,0.00155416,41614.14583,USDT,100,FALSE,1801.09,-26815785.82,
t00000037,o1000000036,50:41.2,Kraken,user_01779,DOT/USDT,sell,limit,maker,5925.5719,823.6253745,4880451.375,0.00071643,3496.501779,USDT,100,FALSE,5603.73,-4878344.15,
t00000038,o1000000037,17:41.2,Gemini,user_01324,LTC/USDT,buy,limit,maker,14444.6025,384.6172299,5555643,0.00032462,1803.472831,USDT,100,FALSE,9266.69,-5548179.78,
t00000039,o1000000038,50:41.2,Binance,user_01239,DOT/USDT,buy,limit,maker,19892.1324,459.1294321,9133063.451,0.00063764,5823.606579,USDT,100,FALSE,9137.02,-9129750.04,
t00000040,o1000000039,26:41.2,Coinbase Pro,user_04681,SOL/USDT,buy,market,maker,45976.5915,303.292858,13944371.84,0.00026996,3764.422621,USDT,100,FALSE,2408.76,-13945727.5,
t00000041,o1000000040,20:41.2,Bitstamp,user_04877,BNB/USDT,buy,market,taker,49662.7541,932.5555529,46313277.11,0.00229587,106329.2635,USDT,100,FALSE,4299.74,-46415306.63,
t00000042,o1000000041,36:41.2,Binance,user_02382,DOT/USDT,sell,limit,maker,2246.0425,118.6525793,266498.7358,0.00053081,141.460194,USDT,100,FALSE,6572.09,-260068.11,
t00000043,o1000000042,45:41.2,Bitstamp,user_00437,XRP/USDT,sell,limit,maker,38050.5157,933.7500855,35529672.29,0.00023185,8237.55452,USDT,100,FALSE,2434.55,-35535475.29,
t00000044,o1000000043,41:41.2,Coinbase Pro,user_02796,DOT/USDT,sell,limit,taker,18586.5175,683.8696132,12710754.53,0.00183403,23311.90514,USDT,100,FALSE,9712.2,-12724354.24,
t00000045,o1000000044,10:41.2,Coinbase Pro,user_01764,BTC/USDT,buy,market,taker,19623.2131,531.576837,10431245.55,0.00145129,15138.76236,USDT,100,FALSE,9232.74,-10437151.57,
t00000046,o1000000045,31:41.2,Binance,user_03369,XRP/USDT,sell,market,maker,37713.3715,32.66873419,1232048.109,0.00096291,1186.351445,USDT,100,FALSE,2502.55,-1230731.91,
t00000047,o1000000046,07:41.2,Coinbase Pro,user_03446,BTC/USDT,sell,limit,taker,45921.3624,475.6014359,21840265.89,0.00086841,18966.30531,USDT,100,FALSE,2090.4,-21857141.8,
t00000048,o1000000047,06:41.2,Gemini,user_01131,ETH/USDT,sell,market,taker,47546.4543,407.7540275,19387258.24,0.00073001,14152.89238,USDT,100,FALSE,1768.68,-19399642.45,
t00000049,o1000000048,52:41.2,Coinbase Pro,user_00088,ADA/USDT,buy,limit,taker,28856.3407,161.2271998,4652427.007,0.00227236,10571.98903,USDT,100,FALSE,9184.99,-4653814.01,
t00000050,o1000000049,49:41.2,Bitstamp,user_04688,BTC/USDT,sell,market,maker,17856.3794,656.4130394,11721160.27,0.00051377,6021.980514,USDT,100,FALSE,2742.61,-11724439.65,
t00000051,o1000000050,48:41.2,Bitstamp,user_01745,XRP/USDT,buy,market,maker,39377.5605,971.1511959,38241564.97,0.00095822,36643.83239,USDT,100,FALSE,4746.56,-38273462.24,
t00000052,o1000000051,34:41.2,Bitstamp,user_03098,ETH/USDT,buy,limit,maker,12550.4437,562.1931892,7055773.969,0.00031296,2208.175021,USDT,100,FALSE,5039.66,-7052942.48,
t00000053,o1000000052,00:41.2,Bitstamp,user_02023,BTC/USDT,buy,limit,taker,28203.9194,714.7561289,20158924.25,0.00127603,25723.39211,USDT,100,FALSE,6391.1,-20178256.54,
t00000054,o1000000053,07:41.2,Gemini,user_00903,SOL/USDT,buy,limit,maker,17929.2438,68.45976806,1227431.872,0.00028695,352.2115757,USDT,100,FALSE,1645.62,-1226138.46,
t00000055,o1000000054,27:41.2,Kraken,user_03311,DOT/USDT,sell,limit,taker,32831.7254,417.6728192,13712919.31,0.00099252,13610.34667,USDT,100,FALSE,3040.83,-13723488.82,
t00000056,o1000000055,17:41.2,Binance,user_02666,ADA/USDT,buy,market,maker,12020.3254,116.3673216,1398773.071,0.00050529,706.7860452,USDT,100,FALSE,9383.41,-1390096.45,
t00000057,o1000000056,03:41.2,Bitstamp,user_00350,BTC/USDT,buy,market,maker,9580.0515,612.7997076,5870652.758,0.00082019,4815.050685,USDT,100,FALSE,9175.69,-5866292.12,
t00000058,o1000000057,45:41.2,Coinbase Pro,user_02787,ETH/USDT,sell,market,taker,45911.9952,938.4827734,43087616.59,0.00225482,97154.81963,USDT,100,FALSE,8031.62,-43176739.79,
t00000059,o1000000058,36:41.2,Bitstamp,user_03571,SOL/USDT,sell,limit,maker,5090.6332,661.7811147,3368884.914,0.00070214,2365.428853,USDT,100,FALSE,1174.61,-3370075.73,
t00000060,o1000000059,51:41.2,Coinbase Pro,user_03260,LTC/USDT,buy,market,taker,25298.1424,76.81228028,1943208.005,0.00207225,4026.812788,USDT,100,FALSE,3943.06,-1943291.76,
t00000061,o1000000060,33:41.2,Coinbase Pro,user_01042,ETH/USDT,sell,limit,taker,11043.0287,354.6726583,3916660.345,0.00095898,3755.998938,USDT,100,FALSE,6651.63,-3913764.71,
t00000062,o1000000061,55:41.2,Bitstamp,user_02786,DOT/USDT,buy,market,maker,1946.9787,550.6678728,1072138.619,0.00095045,1019.014151,USDT,100,FALSE,3476.71,-1069680.92,
t00000063,o1000000062,00:41.2,Gemini,user_01773,ETH/USDT,buy,limit,taker,1801.4229,403.2137241,726358.4361,0.00073595,534.5634911,USDT,100,FALSE,9186.28,-717706.72,
t00000064,o1000000063,25:41.2,Coinbase Pro,user_00495,SOL/USDT,buy,limit,maker,8761.501,833.645674,7303987.407,0.00090998,6646.48246,USDT,100,FALSE,6705.01,-7303928.88,
t00000065,o1000000064,53:41.2,Coinbase Pro,user_00947,ETH/USDT,buy,market,maker,43338.5843,814.672858,35306768.33,0.00070035,24727.0952,USDT,100,FALSE,1647.16,-35329848.27,
t00000066,o1000000065,43:41.2,Bitstamp,user_04800,SOL/USDT,sell,limit,taker,14124.296,611.8349018,8641737.256,0.00163243,14107.03115,USDT,100,FALSE,9181.05,-8646663.24,
t00000067,o1000000066,27:41.2,Coinbase Pro,user_02148,BTC/USDT,buy,limit,maker,47522.9833,373.4642106,17748133.44,0.00025523,4529.856098,USDT,100,FALSE,9619.9,-17743043.4,
t00000068,o1000000067,11:41.2,Coinbase Pro,user_04475,BNB/USDT,sell,market,taker,29081.3238,255.3438204,7425736.321,0.00146084,10847.81265,USDT,100,FALSE,1699.41,-7434884.72,
t00000069,o1000000068,27:41.2,Bitstamp,user_04263,SOL/USDT,sell,limit,maker,21830.9912,105.8832595,2311536.506,0.00045096,1042.410503,USDT,100,FALSE,5791.24,-2306787.68,
t00000070,o1000000069,28:41.2,Bitstamp,user_01672,SOL/USDT,sell,limit,maker,29004.6517,354.9041345,10293870.81,0.00070852,7293.413345,USDT,100,FALSE,3730.28,-10297433.94,
t00000071,o1000000070,17:41.2,Binance,user_01891,ADA/USDT,sell,limit,maker,25835.1609,413.1783855,10674530.07,0.00048477,5174.691942,USDT,100,FALSE,4535.55,-10675169.21,
t00000072,o1000000071,49:41.2,Gemini,user_02939,SOL/USDT,buy,market,maker,37938.9333,675.8261669,25640123.87,0.00031881,8174.32789,USDT,100,FALSE,2616.86,-25645681.34,
t00000073,o1000000072,41:41.2,Gemini,user_03146,SOL/USDT,sell,market,maker,14125.1621,658.1632427,9296662.491,0.00067717,6295.420939,USDT,100,FALSE,6202.65,-9296755.26,
t00000074,o1000000073,04:41.2,Coinbase Pro,user_00641,LTC/USDT,buy,limit,taker,17652.8431,70.11743856,1237772.141,0.00175918,2177.463996,USDT,100,FALSE,9621.81,-1230327.8,
t00000075,o1000000074,01:41.2,Gemini,user_01688,BNB/USDT,sell,market,taker,44704.7681,395.2653628,17670246.38,0.00107937,19072.73384,USDT,100,FALSE,5527.65,-17683791.47,
t00000076,o1000000075,00:41.2,Coinbase Pro,user_01712,BTC/USDT,sell,limit,taker,47322.8524,181.7870494,8602681.708,0.0011261,9687.479872,USDT,100,FALSE,1746.23,-8610622.96,
t00000077,o1000000076,21:41.2,Binance,user_00181,DOT/USDT,buy,limit,taker,44627.9651,156.8211372,6998608.237,0.00183045,12810.60245,USDT,100,FALSE,6580.01,-7004838.83,
t00000078,o1000000077,38:41.2,Bitstamp,user_00206,ADA/USDT,buy,limit,taker,20972.69,827.3038767,17350787.74,0.00219389,38065.71972,USDT,100,FALSE,4062.01,-17384791.45,
t00000079,o1000000078,00:41.2,Bitstamp,user_00579,LTC/USDT,buy,limit,taker,39018.385,41.92479756,1635837.892,0.00144813,2368.905927,USDT,100,FALSE,8703.33,-1629503.47,
t00000080,o1000000079,14:41.2,Bitstamp,user_03943,XRP/USDT,sell,limit,maker,23817.0485,419.1886841,9983837.219,0.00071424,7130.855895,USDT,100,FALSE,4912.1,-9986055.98,
t00000081,o1000000080,47:41.2,Gemini,user_03301,BNB/USDT,sell,market,maker,24877.2438,168.2119737,4184650.281,0.00068076,2848.742525,USDT,100,FALSE,2735.56,-4184763.46,
t00000082,o1000000081,09:41.2,Binance,user_03515,BTC/USDT,buy,limit,taker,10234.4031,879.3314224,8999432.235,0.00190468,17141.03859,USDT,100,FALSE,2719.95,-9013853.32,
t00000083,o1000000082,54:41.2,Gemini,user_00427,BTC/USDT,buy,market,taker,29556.7196,557.0449429,16464421.18,0.00150655,24804.47373,USDT,100,FALSE,7918.88,-16481306.77,
t00000084,o1000000083,39:41.2,Gemini,user_00138,XRP/USDT,buy,market,maker,9307.2018,231.3883226,2153577.812,0.0008592,1850.354056,USDT,100,FALSE,3390.29,-2152037.88,
t00000085,o1000000084,53:41.2,Binance,user_01912,DOT/USDT,buy,limit,maker,16578.5692,502.4322629,8329608.039,0.00036327,3025.896712,USDT,100,FALSE,7905.1,-8324728.84,
t00000086,o1000000085,06:41.2,Binance,user_03597,SOL/USDT,sell,limit,maker,42751.5826,731.4890448,31272314.32,0.00057523,17988.77337,USDT,100,FALSE,2852.99,-31287450.1,
t00000087,o1000000086,52:41.2,Binance,user_03924,LTC/USDT,buy,market,taker,10354.1869,958.1184277,9920537.273,0.00134574,13350.46383,USDT,100,FALSE,3895.18,-9929992.56,
t00000088,o1000000087,26:41.2,Binance,user_01553,ETH/USDT,buy,market,taker,3558.3787,220.4537998,784458.1055,0.00249216,1954.995112,USDT,100,FALSE,5189.38,-781223.72,
t00000089,o1000000088,18:41.2,Bitstamp,user_01667,ADA/USDT,buy,market,taker,3450.8451,886.1829103,3058079.954,0.00156433,4783.846214,USDT,100,FALSE,9488.76,-3053375.04,
t00000090,o1000000089,33:41.2,Kraken,user_00542,ETH/USDT,buy,limit,maker,47039.2556,934.3047711,43949000.94,0.00090695,39859.5464,USDT,100,FALSE,9385.58,-43979474.9,
t00000091,o1000000090,47:41.2,Kraken,user_01438,XRP/USDT,sell,market,maker,25346.2684,916.4213803,23227862.27,0.00047434,11017.90419,USDT,100,FALSE,2861.85,-23236018.33,
t00000092,o1000000091,55:41.2,Binance,user_04768,BTC/USDT,buy,limit,taker,20470.8989,635.4180027,13007577.69,0.00235016,30569.88879,USDT,100,FALSE,4223.97,-13033923.61,
t00000093,o1000000092,01:41.2,Kraken,user_02137,DOT/USDT,sell,limit,taker,40544.0236,629.8243562,25535613.56,0.00214147,54683.75038,USDT,100,FALSE,2344.59,-25587952.72,
t00000094,o1000000093,59:41.2,Kraken,user_03051,BTC/USDT,buy,limit,maker,41791.3785,403.2166011,16850977.59,0.00075204,12672.60919,USDT,100,FALSE,5589.87,-16858060.33,
t00000095,o1000000094,15:41.2,Binance,user_02361,ADA/USDT,buy,market,maker,16609.8856,752.4003583,12497283.88,0.00045288,5659.769922,USDT,100,FALSE,5145.24,-12497798.41,
t00000096,o1000000095,34:41.2,Kraken,user_00848,BTC/USDT,sell,limit,maker,34681.0561,531.2987054,18426000.21,0.00024459,4506.815391,USDT,100,FALSE,9106.84,-18421400.18,
t00000097,o1000000096,42:41.2,Gemini,user_00018,BTC/USDT,buy,limit,maker,38556.2552,677.4412969,26119599.52,0.00068785,17966.36653,USDT,100,FALSE,9370.05,-26128195.84,
t00000098,o1000000097,47:41.2,Coinbase Pro,user_02551,ADA/USDT,sell,limit,taker,32732.707,428.4636193,14024774.11,0.00104617,14672.29793,USDT,100,FALSE,4452.11,-14034994.3,
t00000099,o1000000098,52:41.2,Coinbase Pro,user_02740,LTC/USDT,sell,limit,maker,7580.1779,731.4991491,5544893.684,0.00050945,2824.846087,USDT,100,FALSE,5425.64,-5542292.89,
t00000100,o1000000099,47:41.2,Binance,user_00900,LTC/USDT,buy,limit,maker,43794.2162,824.4732729,36107160.76,0.00026446,9548.899736,USDT,100,FALSE,9066.13,-36107643.53,
t00000101,o1000000100,57:41.2,Bitstamp,user_00687,ADA/USDT,sell,market,maker,26954.9581,146.4447922,3947413.239,0.00031773,1254.211608,USDT,100,FALSE,8260.37,-3940407.08,
t00000102,o1000000101,45:41.2,Binance,user_00134,DOT/USDT,sell,limit,taker,14123.9801,832.9313863,11764306.32,0.00130373,15337.47908,USDT,100,FALSE,1032.91,-11778610.89,
t00000103,o1000000102,05:41.2,Bitstamp,user_03828,XRP/USDT,sell,limit,taker,21261.6967,540.3011288,11487718.73,0.00241408,27732.27203,USDT,100,FALSE,3880.54,-11511570.46,
t00000104,o1000000103,19:41.2,Coinbase Pro,user_01919,BNB/USDT,sell,market,maker,1879.0357,844.6674624,1587160.317,0.00092866,1473.9323,USDT,100,FALSE,4795.97,-1583838.28,
t00000105,o1000000104,16:41.2,Binance,user_03485,BTC/USDT,sell,limit,maker,6393.7761,431.3073933,2757682.903,0.00020484,564.8837659,USDT,100,FALSE,3067.45,-2755180.34,
t00000106,o1000000105,15:41.2,Gemini,user_01159,DOT/USDT,sell,market,maker,38277.4548,379.046695,14508942.73,0.00058709,8518.05519,USDT,100,FALSE,2796.14,-14514664.65,
t00000107,o1000000106,15:41.2,Kraken,user_01077,BTC/USDT,sell,limit,taker,1.0817,915.0615819,989.8221132,0.00093289,0.92339515,USDT,100,FALSE,1340.06,349.31,
t00000108,o1000000107,06:41.2,Bitstamp,user_01498,BNB/USDT,sell,market,taker,20828.5831,251.1767559,5231655.932,0.00137648,7201.269758,USDT,100,FALSE,6790.33,-5232066.87,
t00000109,o1000000108,44:41.2,Kraken,user_03531,XRP/USDT,buy,market,taker,26125.7478,844.2138832,22055719,0.00087846,19375.06691,USDT,100,FALSE,3362.59,-22071731.48,
t00000110,o1000000109,24:41.2,Kraken,user_02936,LTC/USDT,buy,limit,maker,2732.1937,484.0257323,1322452.056,0.00032936,435.5628093,USDT,100,FALSE,1471.12,-1321416.5,
t00000111,o1000000110,35:41.2,Binance,user_02022,DOT/USDT,sell,limit,taker,48653.9216,514.1003016,25012995.77,0.00150437,37628.80044,USDT,100,FALSE,3078.81,-25047545.76,
t00000112,o1000000111,06:41.2,Kraken,user_03419,SOL/USDT,buy,limit,maker,11306.6535,308.4751968,3487822.164,0.00036464,1271.799474,USDT,100,FALSE,8217.23,-3480876.73,
t00000113,o1000000112,09:41.2,Gemini,user_00195,SOL/USDT,sell,market,maker,15210.2839,573.0464702,8716199.5,0.00079325,6914.125253,USDT,100,FALSE,8663.4,-8714450.22,
t00000114,o1000000113,19:41.2,Kraken,user_00279,BNB/USDT,sell,market,maker,15197.4736,325.2179442,4942491.121,0.00063734,3150.047291,USDT,100,FALSE,5347.6,-4940293.57,
t00000115,o1000000114,15:41.2,Binance,user_04625,SOL/USDT,buy,market,taker,11521.2179,39.27902155,452542.1662,0.0014314,647.7688567,USDT,100,FALSE,4744.64,-448445.3,
t00000116,o1000000115,45:41.2,Gemini,user_00847,LTC/USDT,sell,limit,maker,74.1904,272.0058854,20180.22544,0.00064319,12.9797192,USDT,100,FALSE,9800.68,-10392.53,
t00000117,o1000000116,16:41.2,Coinbase Pro,user_01908,BNB/USDT,sell,market,taker,36467.375,6.38897962,232989.3157,0.00197876,461.0299383,USDT,100,FALSE,2805.08,-230645.27,
t00000118,o1000000117,06:41.2,Kraken,user_03322,LTC/USDT,sell,market,taker,48342.2916,978.3550035,47295922.87,0.00145406,68771.10961,USDT,100,FALSE,2938.23,-47361755.75,
t00000119,o1000000118,41:41.2,Binance,user_01710,XRP/USDT,sell,limit,maker,11215.062,965.7475524,10830918.68,0.00033298,3606.479301,USDT,100,FALSE,3626.8,-10830898.36,
t00000120,o1000000119,15:41.2,Coinbase Pro,user_03071,BTC/USDT,buy,market,maker,33152.5281,395.1613459,13100597.62,0.00093319,12225.3467,USDT,100,FALSE,2554.82,-13110268.15,
t00000121,o1000000120,39:41.2,Coinbase Pro,user_02986,XRP/USDT,sell,market,taker,37094.9454,728.3735706,27018977.83,0.00247224,66797.39776,USDT,100,FALSE,4414.29,-27081360.94,
t00000122,o1000000121,19:41.2,Bitstamp,user_04786,XRP/USDT,sell,limit,maker,42421.3447,345.8126404,14669837.22,0.00049767,7300.737888,USDT,100,FALSE,9197.51,-14667940.45,
t00000123,o1000000122,31:41.2,Gemini,user_04677,LTC/USDT,sell,market,taker,21131.7485,671.0964462,14181441.32,0.00121373,17212.44077,USDT,100,FALSE,6538.13,-14192115.63,
t00000124,o1000000123,02:41.2,Kraken,user_02407,BNB/USDT,buy,limit,maker,15146.8938,805.4319888,12199792.8,0.00047106,5746.834395,USDT,100,FALSE,4707.52,-12200832.11,
t00000125,o1000000124,29:41.2,Binance,user_02665,BNB/USDT,sell,limit,taker,16265.0941,946.7567771,15399088.07,0.00089707,13814.05993,USDT,100,FALSE,9409.7,-15403492.43,
t00000126,o1000000125,22:41.2,Bitstamp,user_01356,SOL/USDT,buy,limit,taker,35631.2103,400.2182737,14260261.48,0.00243851,34773.79021,USDT,100,FALSE,1436.18,-14293599.09,
t00000127,o1000000126,03:41.2,Gemini,user_03267,ETH/USDT,buy,limit,taker,40839.0649,783.30015,31989245.66,0.00101461,32456.60854,USDT,100,FALSE,2892.49,-32018809.78,
t00000128,o1000000127,46:41.2,Bitstamp,user_02998,BTC/USDT,sell,limit,taker,9081.1076,265.9357914,2414991.536,0.00186645,4507.460952,USDT,100,FALSE,6093,-2413406,
t00000129,o1000000128,42:41.2,Gemini,user_04848,LTC/USDT,sell,market,maker,18547.3649,990.3324005,18368056.4,0.00023968,4402.455759,USDT,100,FALSE,6539.97,-18365918.89,
t00000130,o1000000129,00:41.2,Gemini,user_00329,SOL/USDT,buy,market,maker,45097.0589,25.77934107,1162572.463,0.00040565,471.5975195,USDT,100,FALSE,1356.02,-1161688.04,
t00000131,o1000000130,03:41.2,Kraken,user_04955,DOT/USDT,sell,limit,taker,40334.7726,603.5327712,24343357.08,0.00209828,51079.1793,USDT,100,FALSE,4627.35,-24389808.91,
t00000132,o1000000131,17:41.2,Gemini,user_02926,ETH/USDT,buy,limit,taker,49242.9277,659.5093866,32476173.04,0.00191216,62099.63904,USDT,100,FALSE,6842.39,-32531430.29,
t00000133,o1000000132,08:41.2,Bitstamp,user_02769,ETH/USDT,buy,market,maker,37712.5359,688.0486766,25948060.42,0.00079512,20631.8218,USDT,100,FALSE,7282.63,-25961409.61,
t00000134,o1000000133,17:41.2,Gemini,user_04404,LTC/USDT,sell,limit,maker,19660.0635,120.3963749,2367000.376,0.00093537,2214.021142,USDT,100,FALSE,6743.26,-2362471.14,
t00000135,o1000000134,56:41.2,Kraken,user_04814,ADA/USDT,sell,limit,maker,29532.0964,938.5303982,27716770.19,0.00053902,14939.89347,USDT,100,FALSE,3885.07,-27727825.02,
t00000136,o1000000135,01:41.2,Kraken,user_04596,BTC/USDT,buy,limit,maker,33050.8822,181.1914672,5988537.839,0.00047371,2836.83026,USDT,100,FALSE,1841.68,-5989532.99,
t00000137,o1000000136,10:41.2,Bitstamp,user_01219,ETH/USDT,buy,market,maker,3923.2516,622.7571757,2443233.086,0.00096924,2368.079236,USDT,100,FALSE,4844.01,-2440757.16,
t00000138,o1000000137,04:41.2,Coinbase Pro,user_02946,LTC/USDT,buy,market,maker,27225.0757,222.6838524,6062584.738,0.00055588,3370.069604,USDT,100,FALSE,2158.79,-6063796.02,
t00000139,o1000000138,08:41.2,Coinbase Pro,user_00170,LTC/USDT,buy,limit,taker,35466.1868,307.2233449,10896040.54,0.0014009,15264.26319,USDT,100,FALSE,9528.61,-10901776.19,
t00000140,o1000000139,00:41.2,Gemini,user_04976,SOL/USDT,sell,limit,maker,8366.4815,546.4630771,4571973.225,0.00048132,2200.582153,USDT,100,FALSE,5276.54,-4568897.27,
